Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
228,Bryan González,mx MEX,"MF,DF",Guadalajara,22-316,2003,23,23,"1,964",21.8,2,2,4,2,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches
229,Diego González,py PAR,"MF,FW",Atlas,23-044,2003,21,19,"1,631",18.1,5,6,11,4,1,1,3,0,0.28,0.33,0.61,0.22,0.55,Matches
230,Hugo González Durán,mx MEX,GK,Toluca,35-203,1990,14,14,"1,257",14,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
231,Fernando González,mx MEX,MF,Querétaro,24-300,2001,9,2,314,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
232,Iván González,mx MEX,"DF,MF",Mazatlán,19-137,2006,8,6,376,4.2,0,1,1,0,0,0,2,0,0,0.24,0.24,0,0.24,Matches
233,Joban González,mx MEX,MF,Tijuana,20-236,2005,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Jonathan González,mx MEX,MF,FC Juárez,26-313,1999,4,1,82,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
235,José González,mx MEX,FW,Atlético San Luis,27-093,1998,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
236,Owen González,mx MEX,"MF,FW",Puebla,22-215,2003,13,8,663,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
237,Rogelio González,mx MEX,MF,Cruz Azul,21-015,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Fernando Gorriarán,uy URU,MF,UANL,31-085,1994,21,19,"1,659",18.4,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
239,Omar Govea,mx MEX,MF,Guadalajara,30-033,1996,17,17,"1,371",15.2,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
240,Carlos Gruezo,ec ECU,MF,Santos Laguna,30-307,1995,6,6,459,5.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
241,Andrés Gudiño,mx MEX,GK,Cruz Azul,29-024,1997,8,7,676,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
242,Javier Güemez,mx MEX,MF,Santos Laguna,34-126,1991,20,18,"1,531",17,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
243,Edgar Guerra,co COL,"MF,FW",Puebla,24-348,2001,17,14,"1,159",12.9,3,1,4,3,0,0,4,0,0.23,0.08,0.31,0.23,0.31,Matches
244,Rafael Guerrero,mx MEX,DF,UANL,23-038,2003,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Daniel Guillén,mx MEX,FW,Atlético San Luis,24-199,2001,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
